Question,Main problem in the question,Type of problem,Source,Source URL,Gene affected,Gene Source URL,Common misconception,Misconception Source URL
"My father was diagnosed with Huntingtons disease at 50, what are my chances of inheriting it?",Huntingtons disease,Genetic risk,NIH National Institute of Neurological Disorders and Stroke,https://www.ninds.nih.gov/health-information/disorders/huntingtons-disease,HTT,https://www.ninds.nih.gov/health-information/disorders/huntingtons-disease,,
Can genetic testing confirm if I willl develop early-onset Alzheimers?,Early-onset Alzheimers,Genetic diagnosis,NIH National Institute on Aging,https://www.nia.nih.gov/health/alzheimers-disease-genetics,APP; PSEN1; PSEN2 (familial early-onset genes),https://www.nia.nih.gov/health/alzheimers-disease-genetics,,
Is there a genetic link to Parkinsons disease?,Parkinsons disease,Genetic association,NIH National Institute of Neurological Disorders and Stroke,https://www.ninds.nih.gov/health-information/disorders/parkinsons-disease,SNCA; LRRK2; PARK2 (several genes),https://www.ninds.nih.gov/health-information/disorders/parkinsons-disease,,
How do I manage the risk of familial hypercholesterolemia?,Familial hypercholesterolemia,Risk management,CDC,https://www.cdc.gov/genomics/disease/familial_hypercholesterolemia.htm,LDLR; PCSK9; APOB,https://www.cdc.gov/genomics/disease/familial_hypercholesterolemia.htm,,
"If I dont have symptoms yet, should I still get tested for adult-onset genetic disorders?",Adult-onset disorders,Preventive testing,NIH,https://www.nih.gov/,,,,
What is the inheritance pattern of Gaucher disease?,Gaucher disease,Inheritance pattern,NIH National Institute of Neurological Disorders and Stroke,https://rarediseases.info.nih.gov/diseases/6261/gaucher-disease,GBA,https://rarediseases.info.nih.gov/diseases/6261/gaucher-disease,,
How is phenylketonuria (PKU) detected in families?,Phenylketonuria (PKU),Detection,NIH National Institute of Child Health and Human Development,https://www.nichd.nih.gov/health/topics/phenylketonuria,PAH,https://www.nichd.nih.gov/health/topics/phenylketonuria,,
Are metabolic disorders always apparent in childhood?,Metabolic disorders,Symptom onset,Genetics Home Reference,https://medlineplus.gov/genetics/condition/metabolic-disorders/,,,,
Can enzyme replacement therapy cure metabolic conditions?,Metabolic conditions,Treatment options,NIH,https://www.nih.gov/,,,,
"If I'm a carrier for a metabolic disorder, will my child definitely have it?",Metabolic disorder carrier,Inheritance risk,NIH,https://www.nih.gov/,,,,
What genetic tests are available during pregnancy?,Prenatal testing,Testing options,ACOG,https://www.acog.org/womens-health/faqs/prenatal-genetic-testing,,,,
How accurate is chorionic villus sampling (CVS) for detecting chromosomal abnormalities?,CVS testing,Diagnostic accuracy,ACOG,https://www.acog.org/womens-health/faqs/diagnostic-genetic-testing,,,,
Can ultrasound findings suggest a genetic condition?,Ultrasound,Early detection,March of Dimes,https://www.marchofdimes.org/pregnancy/ultrasound.aspx,,,,
How do I know if my baby is at risk for Down syndrome?,Down syndrome,Risk assessment,CDC,https://www.cdc.gov/ncbddd/birthdefects/downsyndrome.html,,,,
What are the risks of amniocentesis?,Amniocentesis,Procedure risk,ACOG,https://www.acog.org/womens-health/faqs/amniocentesis,,,,
Is schizophrenia inherited from parents?,Schizophrenia,Genetic inheritance,NIH,https://www.nimh.nih.gov/health/topics/schizophrenia,,,,
Are there genes linked to bipolar disorder?,Bipolar disorder,Genetic association,NIMH,https://www.nimh.nih.gov/health/topics/bipolar-disorder,,,,
How much of depression is genetic versus environmental?,Depression,Risk factors,NIH,https://www.nimh.nih.gov/health/topics/depression,,,,
Can genetic testing predict autism spectrum disorder?,Autism spectrum disorder,Predictive testing,CDC,https://www.cdc.gov/ncbddd/autism/index.html,,,,
Is there a way to know if my child is predisposed to ADHD?,ADHD,Risk prediction,CDC,https://www.cdc.gov/ncbddd/adhd/index.html,,,,
What genes are linked to cystic fibrosis?,Cystic fibrosis,Genetic link,CDC,https://www.cdc.gov/cf/index.html,,,,
How does sickle cell anemia run in families?,Sickle cell anemia,Inheritance pattern,CDC,https://www.cdc.gov/ncbddd/sicklecell/index.html,HBB,https://www.cdc.gov/ncbddd/sicklecell/index.html,,
Is Duchenne muscular dystrophy always inherited from the mother?,Duchenne muscular dystrophy,Inheritance,NIH,https://www.ninds.nih.gov/health-information/disorders/duchenne-and-becker-muscular-dystrophy,DMD,https://www.ninds.nih.gov/health-information/disorders/duchenne-and-becker-muscular-dystrophy,,
Can Tay-Sachs disease be prevented through genetic screening?,Tay-Sachs disease,Prevention,NIH,https://www.ninds.nih.gov/health-information/disorders/tay-sachs-disease,HEXA,https://www.ninds.nih.gov/health-information/disorders/tay-sachs-disease,,
How is Marfan syndrome diagnosed genetically?,Marfan syndrome,Genetic diagnosis,NIH,https://www.nhlbi.nih.gov/health-topics/marfan-syndrome,FBN1,https://www.nhlbi.nih.gov/health-topics/marfan-syndrome,,
Can alcohol consumption during pregnancy cause genetic problems?,Alcohol exposure,Teratogenic risk,CDC,https://www.cdc.gov/ncbddd/fasd/alcohol-use.html,,,,
Are certain medications linked to birth defects?,Medications,Teratogenic risk,FDA,https://www.fda.gov/drugs,,,,
